#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-let-7a-3p	1021.00	hsa-let-7a-1	1021.00	117.00	90.00	37.00	187.00	297.00	293.00	75.26	35.60	56.17	42.26	146.66	146.26
hsa-let-7a-5p	244404.00	hsa-let-7a-1	244404.00	47397.00	52296.00	12280.00	61778.00	38392.00	32261.00	30487.03	20686.64	18641.05	13961.84	18958.47	16104.59
hsa-let-7a-5p	244634.00	hsa-let-7a-2	244634.00	47414.00	52230.00	12273.00	61842.00	38539.00	32336.00	30497.97	20660.54	18630.43	13976.30	19031.06	16142.03
hsa-let-7a-2-3p	0.00	hsa-let-7a-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	1021.00	hsa-let-7a-3	1021.00	117.00	90.00	37.00	187.00	297.00	293.00	75.26	35.60	56.17	42.26	146.66	146.26
hsa-let-7a-5p	243896.00	hsa-let-7a-3	243896.00	47292.00	52130.00	12250.00	61663.00	38346.00	32215.00	30419.49	20620.98	18595.51	13935.85	18935.75	16081.62
hsa-let-7b-5p	47196.00	hsa-let-7b	47196.00	7351.00	15754.00	2742.00	11410.00	5521.00	4418.00	4728.36	6231.78	4162.36	2578.66	2726.34	2205.45
hsa-let-7b-3p	427.00	hsa-let-7b	427.00	116.00	61.00	51.00	74.00	65.00	60.00	74.61	24.13	77.42	16.72	32.10	29.95
hsa-let-7c-3p	140.00	hsa-let-7c	140.00	33.00	47.00	19.00	29.00	6.00	6.00	21.23	18.59	28.84	6.55	2.96	3.00
hsa-let-7c-5p	63942.00	hsa-let-7c	63942.00	8026.00	41588.00	3794.00	5227.00	2931.00	2376.00	5162.54	16450.90	5759.30	1181.30	1447.37	1186.09
hsa-let-7d-3p	514.00	hsa-let-7d	514.00	89.00	40.00	24.00	220.00	76.00	65.00	57.25	15.82	36.43	49.72	37.53	32.45
hsa-let-7d-5p	11076.00	hsa-let-7d	11076.00	1625.00	1659.00	503.00	3682.00	2222.00	1385.00	1045.24	656.25	763.55	832.13	1097.25	691.39
hsa-let-7e-3p	103.00	hsa-let-7e	103.00	28.00	31.00	8.00	16.00	7.00	13.00	18.01	12.26	12.14	3.62	3.46	6.49
hsa-let-7e-5p	8431.00	hsa-let-7e	8431.00	1418.00	2901.00	728.00	1776.00	952.00	656.00	912.10	1147.54	1105.10	401.38	470.11	327.47
hsa-let-7f-5p	1083847.00	hsa-let-7f-1	1083847.00	77399.00	104758.00	22278.00	487749.00	190583.00	201080.00	49785.13	41438.95	33818.03	110231.34	94112.37	100378.49
hsa-let-7f-1-3p	170.00	hsa-let-7f-1	170.00	40.00	36.00	16.00	26.00	18.00	34.00	25.73	14.24	24.29	5.88	8.89	16.97
hsa-let-7f-2-3p	699.00	hsa-let-7f-2	699.00	47.00	53.00	16.00	198.00	134.00	251.00	30.23	20.97	24.29	44.75	66.17	125.30
