# {
#     "changing_threshold": 0.2,
#     "command": "/g100/home/userexternal/xdhori00/.conda/envs/majiq/bin/voila tsv --threshold 0.2 -j 30 output/splicegraph.sql output/oocyte-cumulus.deltapsi.voila -f ../output_tsv/PRJNA649934_voila.tsv",
#     "group_sizes": {
#         "cumulus": 4,
#         "oocyte": 6
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev102+g2cae1507"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	oocyte_mean_psi	cumulus_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
RNF14	ENSG00000013561.18	ENSG00000013561.18:s:141968886-141969234	-0.2039;0.1298;0.0392	5.399e-01;3.339e-02;2.402e-07	1.975e-05;8.852e-03;4.400e-01	0.9889;0.0013;0.0097	0.7705;0.1546;0.0719	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	chr5	+	141969167-141970704;141969167-141973583;141969234-141970704	141968886-141969234;141970704-141970877;141973583-141973742		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A141973742-141968886
ZFR	ENSG00000056097.16	ENSG00000056097.16:s:32385508-32385649	-0.2702;0.2702	9.873e-01;9.873e-01	4.063e-13;1.173e-15	0.9964;0.0036	0.7056;0.2944	s|1e1.1o1|1e2.1o1	2	3	0;0	chr5	-	32380172-32385508;32379210-32385508	32379115-32379210;32380075-32380424;32385508-32385649		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A32385649-32379115
ZFR	ENSG00000056097.16	ENSG00000056097.16:t:32379115-32379210	0.2540;-0.2540	9.482e-01;9.482e-01	1.532e-12;2.831e-12	0.0034;0.9966	0.2716;0.7284	t|1e1.1o1|1e2.1o1	2	3	0;0	chr5	-	32379210-32385508;32379210-32380075	32379115-32379210;32380075-32380424;32385508-32385649		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A32385649-32379115
NFYC	ENSG00000066136.21	ENSG00000066136.21:s:40768646-40769415	0.0000;-0.1851;0.2028;-0.0100	5.487e-21;4.047e-01;5.318e-01;9.349e-09	1.000e+00;4.310e-03;2.842e-03;6.661e-01	0.0011;0.2307;0.7057;0.0560	0.0014;0.0438;0.9186;0.0344	s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4	4	2	0;0;0;0	chr1	+	40769415-40770323;40769415-40770397;40769415-40770709;40769415-40770712	40768646-40769415;40770323-40771139		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A40771139-40768646
ALG13	ENSG00000101901.13	ENSG00000101901.13:s:111684965-111685278	0.0054;0.2698;-0.0000;-0.2839;-0.0000;-0.0000	7.186e-21;9.022e-01;5.489e-21;9.423e-01;5.487e-21;5.487e-21	8.167e-01;1.691e-06;9.997e-01;3.497e-09;1.000e+00;1.000e+00	0.0197;0.6491;0.0101;0.3247;0.0005;0.0005	0.0409;0.9161;0.0004;0.0416;0.0004;0.0004	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	6	7	0;0;0;0;0;0	chrX	+	111685103-111686137;111685103-111687887;111685103-111689087;111685103-111708027;111685103-111711675;111685103-111713225	111684965-111685278;111686137-111686174;111687887-111688642;111688727-111690172;111708027-111708393;111711675-111711725;111713225-111713297		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A111713297-111684965
ELP4	ENSG00000109911.19	ENSG00000109911.19:s:31539662-31539783	-0.0005;-0.3593;-0.0000;-0.0006;0.3955;-0.0000	1.315e-10;9.936e-01;5.487e-21;2.716e-10;9.982e-01;5.487e-21	9.802e-01;1.128e-09;1.000e+00;9.756e-01;1.162e-10;1.000e+00	0.0150;0.3901;0.0011;0.0152;0.5751;0.0011	0.0010;0.0127;0.0010;0.0010;0.9833;0.0010	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2	6	7	0;1;0;0;0;0	chr11	+	31539783-31541431;31539783-31551232;31539783-31573587;31539783-31580683;31539783-31594770;31539783-31603765	31539662-31539783;31541431-31541476;31551232-na;31573587-31573624;31580683-31580800;31594770-31594905;31603765-31603907		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A31603907-31539662
GNPDA1	ENSG00000113552.16	ENSG00000113552.16:t:142011849-142012041	-0.2855;0.0001;0.2746	9.119e-01;5.519e-21;8.875e-01	6.442e-06;9.953e-01;1.549e-05	0.9382;0.0020;0.0598	0.6494;0.0121;0.3415	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr5	-	142012041-142012995;142012041-142012915;142012041-142012288	142011849-142012041;142012288-142012377;142012915-142012973;142012995-142013041		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A142013041-142011849
FAM117A	ENSG00000121104.8	ENSG00000121104.8:t:49722499-49722594	0.0002;-0.9285;0.0002;0.9111;0.0002	3.200e-06;1.000e+00;3.200e-06;1.000e+00;3.200e-06	9.815e-01;1.110e-16;9.815e-01;9.987e-18;9.815e-01	0.0043;0.9830;0.0043;0.0043;0.0043	0.0063;0.0537;0.0063;0.9317;0.0063	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;1;0	chr17	-	49722594-49788497;49722594-49732551;49722594-49732280;49722594-49725129;49722594-49724394	49722499-49722594;49724394-49724527;49725129-na;49732280-49732377;49732551-49732942;49788497-49788989		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A49788989-49722499
STAMBP	ENSG00000124356.17	ENSG00000124356.17:t:73830845-73831059	-0.1899;-0.0924;0.2880	4.388e-01;3.290e-03;9.325e-01	3.022e-03;8.221e-02;1.534e-06	0.3532;0.1222;0.5214	0.1590;0.0263;0.8162	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr2	+	73828996-73830845;73829070-73830845;73829510-73830845	73828916-73828996;73829015-73829070;73829405-73829510;73830845-73831059		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A73831059-73828916
CNOT1	ENSG00000125107.19	ENSG00000125107.19:s:58629728-58629885	0.0804;0.2594;-0.3738	2.993e-02;7.745e-01;9.663e-01	1.283e-01;5.153e-04;5.711e-05	0.0181;0.0225;0.9529	0.1240;0.3021;0.5654	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr16	-	58624794-58629728;58623409-58629728;58599511-58629728	58599010-58599511;58623226-58623409;58624653-58624794;58629728-58629885		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A58629885-58599010
HSPD1	ENSG00000144381.18	ENSG00000144381.18:t:197498675-197498850	0.0000;-0.0205;-0.4032;0.4295;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	5.487e-21;1.106e-06;1.000e+00;1.000e+00;5.487e-21;5.487e-21;5.487e-21;5.487e-21;5.487e-21;5.487e-21	1.000e+00;5.636e-01;0.000e+00;2.294e-20;1.000e+00;1.000e+00;1.000e+00;1.000e+00;1.000e+00;1.000e+00	0.0003;0.1058;0.4859;0.4068;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003	0.0001;0.0660;0.0882;0.8387;0.0001;0.0001;0.0001;0.0001;0.0001;0.0090	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|1e6.1o1|1e7.1o3|1e7.2o3|1e7.3o3	10	8	0;0;0;0;0;0;0;0;0;0	chr2	-	197498850-197516610;197498850-197500160;197498850-197499999;197498850-197499782;197498850-197499606;197498850-197499554;197498850-197499471;197498850-197499259;197498850-197499167;197498850-197499142	197498675-197498850;197499142-197499438;197499471-197499543;197499554-197499716;197499782-197499941;197499999-197500124;197500160-197500274;197516610-197516737		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A197516737-197498675
